policy,timestep,sensitivity_weighted_tile_error,mean_assigned_noise_std,sensitivity_weighted_mean_assigned_noise_std,capacity_utilization,shards_on_faulted_tiles,shards_on_unavailable_tiles,projections_on_faulted_tiles,projections_on_unavailable_tiles,placement_feasible,service_failure,available_capacity_utilization
sequential,25,47.89896309637666,0.02465266648493175,0.024317453072721717,0.857421875,0,0,0,0,True,False,0.857421875
sequential,26,48.054087987480784,0.024651189803957835,0.024367448306837246,0.857421875,0,0,0,0,True,False,0.857421875
sequential,27,48.287329340628276,0.024672049205138064,0.024425800402310408,0.857421875,0,0,0,0,True,False,0.857421875
sequential,28,48.36231244502447,0.02464556235205441,0.024455103770615026,0.857421875,0,0,0,0,True,False,0.857421875
sequential,29,48.38459579575933,0.024637846234549444,0.024462940520399344,0.857421875,0,0,0,0,True,False,0.857421875
sequential,30,48.544524043802646,0.02462296849427254,0.02449127888954796,0.857421875,0,0,0,0,True,False,0.857421875
sequential,31,48.53661525858181,0.024580452743028544,0.024485668514142148,0.857421875,0,0,0,0,True,False,0.857421875
sequential,32,49.03630116018119,0.024692405792869618,0.024601155267393197,0.857421875,0,0,0,0,True,False,0.857421875
sequential,33,48.824899304510744,0.024630846890766424,0.024547085740521654,0.857421875,0,0,0,0,True,False,0.857421875
sequential,34,49.860983865512914,0.024900243940163224,0.02481456829289414,0.857421875,0,0,0,0,True,False,0.857421875
sequential,35,50.52679446124438,0.025093767757990403,0.024973166813248012,0.857421875,0,0,0,0,True,False,0.857421875
sequential,36,50.45473418916908,0.02509625223312618,0.024956420769942797,0.857421875,0,0,0,0,True,False,0.857421875
sequential,37,50.20268658975692,0.02511914946047329,0.02488665995675645,0.857421875,0,0,0,0,True,False,0.857421875
sequential,38,50.777933686052414,0.02523373009302049,0.02502035015491763,0.857421875,0,0,0,0,True,False,0.857421875
sequential,39,50.65898562277498,0.0252084735844726,0.02500433495441999,0.857421875,0,0,0,0,True,False,0.857421875
sequential,40,50.741305399345514,0.025165566525498215,0.025033066427705794,0.857421875,0,0,0,0,True,False,0.857421875
sequential,41,50.260382380303206,0.025129906412545405,0.024917523414301753,0.857421875,0,0,0,0,True,False,0.857421875
sequential,42,50.207510548855616,0.02506717214224759,0.024923998236789074,0.857421875,0,0,0,0,True,False,0.857421875
sequential,43,50.48387627799473,0.02507614336880428,0.024980139233532456,0.857421875,0,0,0,0,True,False,0.857421875
sequential,44,50.85259798965302,0.025238775647007966,0.025083405643254165,0.857421875,13,0,8,0,True,False,0.857421875
sequential,45,51.36666702250331,0.025357147953451446,0.025218345643718637,0.857421875,13,0,8,0,True,False,0.857421875
sequential,46,51.45391153279318,0.025368030110212214,0.025238535170623494,0.857421875,13,0,8,0,True,False,0.857421875
sequential,47,51.52869517588261,0.02542354810202816,0.025258593397320908,0.857421875,13,0,8,0,True,False,0.857421875
sequential,48,51.10546145451464,0.02539860145629208,0.025152392841298055,0.857421875,13,0,8,0,True,False,0.857421875
sequential,49,50.90777734686767,0.025412676706008098,0.025099836564508503,0.857421875,13,0,8,0,True,False,0.857421875
sequential,50,51.85650814358312,0.025613606121041507,0.0253343216509563,0.857421875,13,0,8,0,True,False,0.857421875
sequential,51,52.88509594934547,0.025719642696882438,0.025592892552977985,0.857421875,13,0,8,0,True,False,0.857421875
sequential,52,52.59460109177512,0.02568500086165141,0.0255198483768023,0.857421875,13,0,8,0,True,False,0.857421875
sequential,53,51.71526305493628,0.025506539912625557,0.025309592932710505,0.857421875,13,0,8,0,True,False,0.857421875
sequential,54,51.65008336307218,0.025398242045582227,0.025288819122224984,0.857421875,13,0,8,0,True,False,0.857421875
sequential,55,51.767871520820876,0.025448059682422204,0.025321604897397647,0.857421875,13,0,8,0,True,False,0.857421875
sequential,56,52.09741612736146,0.025551167887675842,0.025398790649165358,0.857421875,13,0,8,0,True,False,0.857421875
sequential,57,51.901689772466725,0.025559503255239452,0.02535057410967465,0.857421875,13,0,8,0,True,False,0.857421875
sequential,58,51.83685637741368,0.025563055217506875,0.02532967200968996,0.857421875,13,0,8,0,True,False,0.857421875
sequential,59,51.639101230082424,0.025393054933751543,0.02529179239479612,0.857421875,13,0,8,0,True,False,0.857421875
sequential,60,50.60364290667862,0.02526860497944876,0.025033174191036154,0.857421875,13,0,8,0,True,False,0.857421875
sequential,61,51.14706815465647,0.025435340958293987,0.02516234880358444,0.857421875,13,0,8,0,True,False,0.857421875
sequential,62,51.74715023319415,0.02548363295358738,0.025312184569021172,0.857421875,13,0,8,0,True,False,0.857421875
sequential,63,51.08724552331488,0.025393820528742287,0.025150693389706203,0.857421875,13,0,8,0,True,False,0.857421875
sequential,64,51.675357069727724,0.025424330090838214,0.0253065744258107,0.857421875,13,0,8,0,True,False,0.857421875
