policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c5,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,5,0,512,2560,3072,47,5,1,512,512,262144,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c0,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,0,512,768,0,512,48,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,1,512,768,512,1024,50,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c2,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,2,512,768,1024,1536,51,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c3,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,3,512,768,1536,2048,53,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c4,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,4,512,768,2048,2560,54,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r1c5,block_1/mlp.c_fc,block_1,mlp.c_fc,102,1,5,512,768,2560,3072,55,5,1,256,512,131072,2359296,0.05555555555555555,1.290026538938735,delta_ppl_total,0.023,0.07166814105215194
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r0c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,0,0,0,512,0,512,14,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r0c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,0,1,0,512,512,768,16,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r1c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,1,0,512,1024,0,512,17,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r1c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,1,1,512,1024,512,768,19,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r2c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,2,0,1024,1536,0,512,21,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r2c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,2,1,1024,1536,512,768,22,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r3c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,3,0,1536,2048,0,512,23,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r3c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,3,1,1536,2048,512,768,24,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r4c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,4,0,2048,2560,0,512,25,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r4c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,4,1,2048,2560,512,768,26,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r5c0,block_1/mlp.c_proj,block_1,mlp.c_proj,103,5,0,2560,3072,0,512,27,6,1,512,512,262144,2359296,0.1111111111111111,1.2110609606543832,delta_ppl_total,0.023,0.13456232896159812
random,decoder_stack.layers.1.ffn2,decoder_stack.layers.1.ffn2#r5c1,block_1/mlp.c_proj,block_1,mlp.c_proj,103,5,1,2560,3072,512,768,28,6,1,512,256,131072,2359296,0.05555555555555555,1.2110609606543832,delta_ppl_total,0.023,0.06728116448079906
random,decoder_stack.layers.2.q_proj_out,decoder_stack.layers.2.q_proj_out#r0c0,block_3/attn.c_attn,block_3,attn.c_attn,300,0,0,0,512,0,512,49,6,1,512,512,262144,1769472,0.14814814814814814,0.6515651177712506,delta_ppl_total,0.023,0.09652816559574082
random,decoder_stack.layers.2.q_proj_out,decoder_stack.layers.2.q_proj_out#r0c1,block_3/attn.c_attn,block_3,attn.c_attn,300,0,1,0,512,512,768,18,6,1,512,256,131072,1769472,0.07407407407407407,0.6515651177712506,delta_ppl_total,0.023,0.04826408279787041
