policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
random,77,57.1491126409394,57.1491126409394,57.1491126409394,0.027123099829394114,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,78,55.88190420680052,55.88190420680052,55.88190420680052,0.02677902072255241,0.023,variance_ratio_squared,48.000000000000284,32,0,27,0,72,5
random,79,55.92945939657373,55.92945939657373,55.92945939657373,0.026896460262602152,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,80,57.82257373714573,57.82257373714573,57.82257373714573,0.027256645941394052,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,81,58.45718403082506,58.45718403082506,58.45718403082506,0.027529343853906294,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,82,58.49952619214933,58.49952619214933,58.49952619214933,0.027518246458455006,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,83,58.1225563970144,58.1225563970144,58.1225563970144,0.02746390753542473,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,84,57.93870691597185,57.93870691597185,57.93870691597185,0.027324636959446095,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,85,57.90447530068136,57.90447530068136,57.90447530068136,0.027304688017527296,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,86,56.2486286546687,56.2486286546687,56.2486286546687,0.027032871458102577,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,87,55.91839980984024,55.91839980984024,55.91839980984024,0.026997052266707726,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,88,56.10530272659834,56.10530272659834,56.10530272659834,0.027124983876042008,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
random,89,57.43250368906072,57.43250368906072,57.43250368906072,0.027367504092365515,0.023,variance_ratio_squared,48.000000000000284,38,0,28,0,72,6
