policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance,utilization,trace_seed,placement_seed
static_sensitivity,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r0c0,block_2/attn.c_attn,block_2,attn.c_attn,200,0,0,0,512,0,512,12,0,1,512,512,262144,1769472,589824,0.14814814814814814,1.7787354935574413,delta_ppl_total,0.023,0.2635163694159172,1.0,42,42
static_sensitivity,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r0c1,block_2/attn.c_attn,block_2,attn.c_attn,200,0,1,0,512,512,768,13,0,1,512,256,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r1c0,block_2/attn.c_attn,block_2,attn.c_attn,200,1,0,512,768,0,512,15,0,1,256,512,131072,1769472,589824,0.07407407407407407,1.7787354935574413,delta_ppl_total,0.023,0.1317581847079586,0.5,42,42
static_sensitivity,decoder_stack.layers.1.v_proj_out,decoder_stack.layers.1.v_proj_out#r1c1,block_2/attn.c_attn,block_2,attn.c_attn,200,1,1,512,768,512,768,16,0,1,256,256,65536,1769472,589824,0.037037037037037035,1.7787354935574413,delta_ppl_total,0.023,0.0658790923539793,0.25,42,42
static_sensitivity,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r0c0,block_1/attn.c_proj,block_1,attn.c_proj,101,0,0,0,512,0,512,53,0,1,512,512,262144,589824,589824,0.4444444444444444,0.3935577137229167,delta_ppl_total,0.023,0.17491453943240742,1.0,42,42
static_sensitivity,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r0c1,block_1/attn.c_proj,block_1,attn.c_proj,101,0,1,0,512,512,768,54,0,1,512,256,131072,589824,589824,0.2222222222222222,0.3935577137229167,delta_ppl_total,0.023,0.08745726971620371,0.5,42,42
static_sensitivity,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r1c0,block_1/attn.c_proj,block_1,attn.c_proj,101,1,0,512,768,0,512,55,0,1,256,512,131072,589824,589824,0.2222222222222222,0.3935577137229167,delta_ppl_total,0.023,0.08745726971620371,0.5,42,42
static_sensitivity,decoder_stack.layers.1.out_proj,decoder_stack.layers.1.out_proj#r1c1,block_1/attn.c_proj,block_1,attn.c_proj,101,1,1,512,768,512,768,56,0,1,256,256,65536,589824,589824,0.1111111111111111,0.3935577137229167,delta_ppl_total,0.023,0.043728634858101856,0.25,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c0,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,0,0,512,0,512,17,5,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
static_sensitivity,decoder_stack.layers.1.ffn1,decoder_stack.layers.1.ffn1#r0c1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,0,1,0,512,512,1024,23,5,1,512,512,262144,2359296,2359296,0.1111111111111111,1.290026538938735,delta_ppl_total,0.023,0.14333628210430388,1.0,42,42
