shard_id,projection_id,hf_module_path,sim_module_path,sim_layer,qkv_component,canonical_row_start,canonical_row_end,canonical_col_start,canonical_col_end,tile_id,tier_id,policy,placement_seed,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score
decoder_stack.layers.1.ffn1#r0c3,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,1536,2048,22,10,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
decoder_stack.layers.1.ffn1#r0c4,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,2048,2560,45,2,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
decoder_stack.layers.1.ffn1#r0c5,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,0,512,2560,3072,33,2,random,42,262144,2359296,0.1111111111111111,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c0,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,0,512,19,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c1,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,512,1024,59,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c2,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,1024,1536,46,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c3,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,1536,2048,9,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c4,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,2048,2560,40,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn1#r1c5,block_1/mlp.c_fc,transformer.h.1.mlp.c_fc,decoder_stack.layers.1.ffn1,1,,512,768,2560,3072,18,2,random,42,131072,2359296,0.05555555555555555,1.3571183341494883
decoder_stack.layers.1.ffn2#r0c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,0,512,0,512,10,1,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r0c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,0,512,512,768,11,1,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.1.ffn2#r1c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,512,1024,0,512,12,1,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r1c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,512,1024,512,768,13,1,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.1.ffn2#r2c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,1024,1536,0,512,45,10,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r2c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,1024,1536,512,768,33,10,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.1.ffn2#r3c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,1536,2048,0,512,19,10,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r3c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,1536,2048,512,768,59,10,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.1.ffn2#r4c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,2048,2560,0,512,46,10,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r4c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,2048,2560,512,768,9,10,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.1.ffn2#r5c0,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,2560,3072,0,512,40,10,random,42,262144,2359296,0.1111111111111111,1.2304317789341088
decoder_stack.layers.1.ffn2#r5c1,block_1/mlp.c_proj,transformer.h.1.mlp.c_proj,decoder_stack.layers.1.ffn2,1,,2560,3072,512,768,18,10,random,42,131072,2359296,0.05555555555555555,1.2304317789341088
decoder_stack.layers.2.q_proj_out#r0c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,Q,0,512,0,512,38,12,random,42,262144,1769472,0.14814814814814814,1.8118746265733745
decoder_stack.layers.2.q_proj_out#r0c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,Q,0,512,512,768,39,12,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.q_proj_out#r1c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,Q,512,768,0,512,41,12,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.q_proj_out#r1c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.q_proj_out,2,Q,512,768,512,768,42,12,random,42,65536,1769472,0.037037037037037035,1.8118746265733745
decoder_stack.layers.2.k_proj_out#r0c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,K,768,1280,0,512,23,1,random,42,262144,1769472,0.14814814814814814,1.8118746265733745
decoder_stack.layers.2.k_proj_out#r0c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,K,768,1280,512,768,25,1,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.k_proj_out#r1c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,K,1280,1536,0,512,7,1,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.k_proj_out#r1c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.k_proj_out,2,K,1280,1536,512,768,22,1,random,42,65536,1769472,0.037037037037037035,1.8118746265733745
decoder_stack.layers.2.v_proj_out#r0c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,V,1536,2048,0,512,14,0,random,42,262144,1769472,0.14814814814814814,1.8118746265733745
decoder_stack.layers.2.v_proj_out#r0c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,V,1536,2048,512,768,15,0,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.v_proj_out#r1c0,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,V,2048,2304,0,512,16,0,random,42,131072,1769472,0.07407407407407407,1.8118746265733745
decoder_stack.layers.2.v_proj_out#r1c1,block_2/attn.c_attn,transformer.h.3.attn.c_attn,decoder_stack.layers.2.v_proj_out,2,V,2048,2304,512,768,17,0,random,42,65536,1769472,0.037037037037037035,1.8118746265733745
decoder_stack.layers.2.out_proj#r0c0,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,,0,512,0,512,20,0,random,42,262144,589824,0.4444444444444444,0.15962196464690342
decoder_stack.layers.2.out_proj#r0c1,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,,0,512,512,768,21,0,random,42,131072,589824,0.2222222222222222,0.15962196464690342
decoder_stack.layers.2.out_proj#r1c0,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,,512,768,0,512,24,0,random,42,131072,589824,0.2222222222222222,0.15962196464690342
decoder_stack.layers.2.out_proj#r1c1,block_2/attn.c_proj,transformer.h.2.attn.c_proj,decoder_stack.layers.2.out_proj,2,,512,768,512,768,26,0,random,42,65536,589824,0.1111111111111111,0.15962196464690342
decoder_stack.layers.2.ffn1#r0c0,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,0,512,0,2,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r0c1,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,512,1024,1,2,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r0c2,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,1024,1536,2,2,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r0c3,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,1536,2048,3,2,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r0c4,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,2048,2560,45,14,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r0c5,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,0,512,2560,3072,33,14,random,42,262144,2359296,0.1111111111111111,2.5006713470529096
decoder_stack.layers.2.ffn1#r1c0,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,512,768,0,512,19,14,random,42,131072,2359296,0.05555555555555555,2.5006713470529096
decoder_stack.layers.2.ffn1#r1c1,block_2/mlp.c_fc,transformer.h.2.mlp.c_fc,decoder_stack.layers.2.ffn1,2,,512,768,512,1024,59,14,random,42,131072,2359296,0.05555555555555555,2.5006713470529096
